Название,Текст
"Чайное дерево ","Уникальное растение родом из Австралии 

Химический состав: альфа-пинен, бета -пинен, альфа-терпинен, лимонен и другие компоненты

ВОЗДЕЙСТВИЕ НА ФИЗИЧЕСКОМ УРОВНЕ: 

✔️высокое антисептическое 
✔️противогрибковое 
✔️иммуностимулятор 
✔️противовоспалительное 
✔️местное обезболивание 
✔️адаптоген 
✔️потогонное 
✔️глистогонное 
✔️стимулирующие 
✔️улучшает кровообращение 
✔️тонизирует 
✔️активирует умственную деятельность 
✔️повышает концентрацию внимания 
✔️отхаркивающее 
✔️успокаивающее
✔️регенерирующее 
✔️противоопухолевое 
✔️репеллент 
✔️дезодорирующее 

ВОЗДЕЙСТВИЕ НА ЭМОЦИОНАЛЬНОМ УРОВНЕ: 

Убирает: 
✔️паразитирующие и созависимые отношения 
✔️слабые границы 
✔️слабоволие 
✔️истощенность 
✔️бессилие 
✔️эмоциональная токсичность 

Развивает: 
✔️энергетические границы 
✔️взаимоуважение 
✔️наделяет силой 
✔️устойчивость 
✔️безопасность

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный
 
Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
"Ладан","👑 Король всех эфирных масел

Химический состав: монотерпеновые углеводороды 11-60%, кислородсодержащие монотерпены 5-9%, инцесол, ацетол, борнеол и т д

ВОЗДЕЙСТВИЕ НА ФИЗИЧЕСКОМ УРОВНЕ: 

✔️психотропное (без угнетения ЦНС) 
✔️успокаивающее, расслабляющее
✔️антидепрессивное 
✔️противовоспалительное 
✔️антигистаминное 
✔️противоастматическое 
✔️отхаркивающее 
✔️ветрогонное 
✔️регенерирующее, работает на уровне ДНК клетки
✔️иммуномодулятор 
✔️антиоксидант
✔️кровоостанавливающие 
✔️согревающее
✔️укрепляет волосы 
✔️местное обезболивание 

ВОЗДЕЙСТВИЕ НА ЭМОЦИОНАЛЬНОМ УРОВНЕ: 

Убирает: 
✔️сиротливость 
✔️духовная разобщённость 
✔️утрата связи с отцом 
✔️незащищённость 
✔️духовная тьма 

Развивает: 
✔️просветление
✔️любовь
✔️защита 
✔️мудрость
✔️проницательность 
✔️единение с отцом 
✔️духовная открытость

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный, внутренний 

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
"Лаванда","Общетерапевтическое масло, имеющее более 200 способов применения!

В составе масла около 300 компонентов! Основа: Линалилацетат 35-45%, линоллол 30-35%, терпинен 4-ол до 5 %, лавандулилацетат до 3%, камфора и другие

ВОЗДЕЙСТВИЕ НА ФИЗИЧЕСКОМ УРОВНЕ: 

✔️общетерапевтическое действие 
✔️противовоспалительное 
✔️регенерирующее 
✔️фунгицидное 
✔️общеукрепляющее
✔️иммуномодулирующее (Т - система) 
✔️антидепрессант
✔️стимулирует лимфоток 
✔️гипотензивное 
✔️расслабляющее (без седативного эффекта, не угнетает нервную систему) 
✔️противоожоговое
✔️успокаивающее 
✔️антигистаминное (противоаллергическое) 
✔️антисептик
✔️улучшает микроциркуляцию 
✔️антисклеротическое 
✔️обезболивающее 
✔️нормализует аппетит и СМ функцию ЖКТ
✔️желчегонное/мочегонное 
✔️антиаритмическое 
✔️стимулирует роды и менструации 
✔️онкопротектор 
✔️адаптоген 
✔️репеллент 
✔️нормализует гормональный статус при туберкулёзе 

ВОЗДЕЙСТВИЕ НА ЭМОЦИОНАЛЬНОМ УРОВНЕ: 

Убирает: 
✔️препятствия в общении 
✔️боязнь отказа 
✔️зажатость 
✔️напряжение 
✔️скрытность 
✔️неуверенность в себе 
✔️недолюбленность 

Развивает: 
✔️открытость в общении
✔️выразительность 
✔️спокойствие 
✔️эмоциональная четкость

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный, внутренний 

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
"Лимон","самый многофункциональный цитрус в мире эфиров! 

Химический состав: 
Лимонен 60-80%, бета-пинен до 14%, гамма-терпинен около 10%, цитраль 3-5% и другие 

ВОЗДЕЙСТВИЕ НА ФИЗИЧЕСКОМ УРОВНЕ:  

✔️антисептические (уничтожает микрофлору: бактерии, вирусы, грибы, простейшие, микроводоросли) 
✔️антиоксидант
✔️запускает липолиз 
✔️нормализует липидный обмен 
✔️пищеварительное 
✔️желчегонное 
✔️антисклеротическое 
✔️гипотензивное 
✔️противовоспалительное 
✔️стимулирует кроветворение и оимфопоэз
✔️иммуномодулирующее 
✔️тонизирует 
✔️освежает 
✔️спазмолитик 
✔️отхаркивающее 
✔️кровоостанавливающие 
✔️ранозаживляющее
✔️кардиотоник 
✔️мочегонное 
✔️отбеливает кожу 
✔️глистогонное  
✔️афродизиак 

ВОЗДЕЙСТВИЕ НА ЭМОЦИОНАЛЬНОМ УРОВНЕ: 

Убирает: 
✔️сумятица 
✔️неспособность принять решение 
✔️утомляемость 
✔️дефицит энергии 
✔️чувство вины
✔️отстранённость
✔️проблемы с обучением 

Развивает: 
✔️сосредоточенность
✔️ясность ума
✔️энергичность 
✔️смекалка 
✔️рациональность 
✔️радость

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный, внутренний 

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
"Орегано","мощнейший природный антибиотик. Лучшее противогрибковое средство!

🔸 Химический состав: карвакрол 60-75%, тимол до 5%, карриофиллен 2-5%, линаллол 0,5-3%, гамма-терпинен 3-5%, пара-цимол 5-9% и т.д

ВОЗДЕЙСТВИЕ НА ФИЗИЧЕСКОМ УРОВНЕ: 

✔️антимикробное (особенно ОРВИ)
✔️отхаркивающее 
✔️бронхолитическое 
✔️противовоспалительное 
✔️седативное 
✔️запускает липолиз, стимулирует аппетит и работу ЖКТ 
✔️фунгицидное 
✔️обезболивающее
✔️гипотензивное (понижает давление)
✔️повышает свёртываемость крови 
✔️стимулирует менструации 
✔️противопаразитарное 
✔️инсектицидное
✔️подавляет либидо 

ВОЗДЕЙСТВИЕ НА ЭМОЦИОНАЛЬНОМ УРОВНЕ: 

Убирает: 
✔️дурные привязанности 
✔️гордыня
✔️самоуверенность 
✔️упрямство 
✔️контроль

Развивает: 
✔️скромность 
✔️гибкость 
✔️готовность 
✔️обучаемость 
✔️непривязанность

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный, внутренний 

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
"Мята перечная ","Перечная мята - прекрасное средство для концентрации внимания 🧘🏼‍♀️ 

Химический состав: ментол 33-39%, неоментол 1,6-4,5%, неоизоментол 0,7-1,6%, ментон 5,9-28,5%, изоментон 1,4-15,5%, метилацетат 4,5-20% 

ВОЗДЕЙСТВИЕ НА ФИЗИЧЕСКОМ УРОВНЕ:  

✔️адаптоген (баланс нервной системы) 
✔️противовоспалительное 
✔️бактерицидное в отношении 
ЖКТ 
✔️спазмолитическое 
✔️обезболивающее 
✔️отхаркивающее
✔️потогонное
✔️жаропонижающее 
✔️антиаритмическое 
✔️иммуномодулирующий (Т и Б системы) 
✔️улучшает микроциркуляцию 
✔️нормализует свойства кожи 
✔️антисептик 
✔️желчегонное 
✔️ветрогонное 
✔️повышает концентрацию внимания 
✔️антисклеротическое 
✔️репеллент 
✔️глистогонное 
✔️снижает лактацию 
 ✔️снижает потенцию у мужчин 

ВОЗДЕЙСТВИЕ НА ЭМОЦИОНАЛЬНОМ УРОВНЕ: 

Убирает: 
✔️невыносимая боль
✔️сильное отчаяние 
✔️уныние, пессимизм
✔️грусть, разочарование 

Развивает: 
✔️жизнерадостность
✔️оптимизм 
✔️облегчение
✔️сила взглянуть боли в глаза

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный, внутренний 

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
"On Guard защитная смесь","On Guard® — запатентованная смесь эфирных масел стандарта CPTG®, обеспечивающая естественную и эффективную поддержку иммунитета. 

🌸 Аромат — теплый, пряный, камфорный, древесный.

🍃 Ингредиенты:
Эфирные масла дикого апельсина, гвоздики, корицы, эвкалипта, розмарина

ДЕЙСТВИЕ:

✔️ Является природным антисептиком 
✔️ Поддерживает здоровье иммунной и дыхательной систем
✔️ Защищает от респираторных инфекций
✔️ Поддерживает естественную антиоксидантную защиту организма
✔️ Способствует здоровому кровообращению
✔️ Помогает уменьшить тягу к курению

Примеры применения:

1️⃣ Смесь On Guard® можно принимать внутрь ежедневно для поддержания крепкого иммунитета, а также для здоровья сердечно-сосудистой системы. 

2️⃣ Смесь может быть использована для очищения поверхностей по всему дому в качестве нетоксичного очищающего и дезинфицирующего средства. Для этого смешайте несколько капель смеси с пищевой содой

3️⃣ При распылении On Guard® помогает очистить воздух закрытых помещений, одновременно тонизируя и поднимая настроение

4️⃣ Для естественной антиоксидантной защиты принимать ежедневно внутрь с мёдом (1 капля смеси на 1 ч.л. мёда) или растворить 1 каплю в 120 мл растительного молока

5️⃣ Для приготовления здоровой иммуностимулирующей закуски замочить нарезанные яблоки в воде и поместить туда же несколько капель смеси

6️⃣ Чтобы избавиться от желания закурить, капните на язык 1 каплю смеси и распределите внутри рта.

7️⃣ Для приготовления натурального средства для очищения рук смешать несколько капель смеси с фракционным кокосовым маслом (в соотношении 1:1).

 ‼️ Предостережение: 
Детям до 6 лет не принимать внутрь.

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный, внутренний 

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
"Deep blue смесь для мышц и суставов","Успокаивающая смесь «Дип Блю» представляет собой комбинацию эфирных масел, которые помогают снять напряжение в суставах и мышцах, а также имеют охлаждающий эффект. В частности, эта смесь содержит эфирные масла грушанки и перечной мяты, способствующие расслаблению, особенно после напряженной тренировки. Эти эфирные масла оказывают успокаивающее действие и дарят спине, ногам и ступням ощущение комфорта.

🍃 Ингредиенты:
Эфирные масла грушанки, камфоры, мяты перечной, иланг-иланга, бессмертника, голубой пижмы, ромашки лекарственной, экстракт цветков османтуса душистого.

ДЕЙСТВИЕ:

✔️ успокаивающее
✔️ местное обезболивающее 
✔️ снимает напряжение с суставов 
✔️ охлаждает мышцы
✔️ обеспечивает чувство прохлады при наружном нанесении на кожу

Примеры применения:

• Используйте смесь «Дип Блю» во время массажа, чтобы насладиться его успокаивающими и охлаждающими свойствами.

• Смешайте «Дип Блю» с фракционированным кокосовым маслом и помассируйте ноги ребенка.

• Наносите на ступни и колени до и после тренировки для охлаждения и снятия напряжения.

• После долгих часов работы за компьютером нанесите смесь эфирных масел «Дип Блю» на пальцы, запястья, плечи и шею.

• После продолжительной пробежки смешайте несколько капель успокаивающей смеси «Дип Блю» с фракционированным кокосовым маслом и втирайте в кожу массирующими движениями.

• В конце дня нанесите небольшое количество средства на поясницу и разотрите.

 ‼️ Предостережение: 
Только для наружного применения!

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
"Slim & Sassy метаболическая смесь","Смесь для контроля веса Slim & Sassy содержит мощные эфирные масла, которые известны своей способностью стимулировать здоровый обмен веществ 

🌸 Описание аромата: Теплый, пряный, травянистый

🍃 Ингредиенты: 
Эфирные масла кожуры грейпфрута, кожуры лимона, мяты перечной, корня имбиря и коры корицы.

ДЕЙСТВИЕ:
• Улучшает обмен веществ
• При приеме с питьевой водой помогает бороться с чувством голода
• Способствует позитивному настроению
• При употреблении в сочетании со здоровым питанием и физическими упражнениями, смесь Slim & Sassy поможет вам достичь своего идеального веса

ПРИМЕРЫ ПРИМЕНЕНИЯ:

• Добавьте в воду или чай и выпейте, чтобы зарядиться энергией перед тренировкой
• Принимайте перед едой, чтобы контролировать аппетит и не допускать переедания, а также в качестве части программы контроля здорового веса.
• Капните три-четыре капли масла в ваш любимый диффузор.
• Растворите 1-2 капли в базовом масле и сделайте антицеллюлитный массаж

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный, внутренний 

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
"Digest Zen смесь для пищеварения","Уникальная смесь с эфирными маслами имбиря, мяты перечной, тмина и фенхеля оказывает благоприятное воздействие при дискомфорте в желудке. Эту смесь стоит всегда держать под рукой — и в дороге, и дома!

🍃 Ингредиенты: эфирные масла семян аниса, перечной мяты, корня имбиря, семян тмина, семян кориандра, эстрагона и семян фенхеля

ПРИМЕНЕНИЕ: 

* Добавьте 1–2 капли в воду или чай после обильного или плотного приема пищи.

* Добавьте 1–2 капли в воду или чай перед полетом или поездкой, во время тошноты или чувства укачивания

*  Возьмите смесь с собой в поездку или просто всегда держите ее под рукой, чтобы воспользоваться в случае необходимости.

* Вотрите 1 каплю на проекцию желудка или кишечника при чувстве дискомфорта 

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный, внутренний 

Информация носит ознакомительный характер. Проконсультируйтесь с врачом."
